X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
16,53,14,0.01704005464,641778.220701439,756456.699430416,642112.665728738,755868.819934431,0.16850005464,0.15146,2020.22612934426,2020.2431693989,73200000,hCoV-19/Belgium/ULG-10028/2020|EPI_ISL_421202|2020-03-30|Europe,Liège,Liège,4802,4802
17,53,13,0.01977229508,641778.220701439,756456.699430416,639980.801228331,731901.453843815,0.17123229508,0.15146,2020.22612934426,2020.24590163934,73200000,hCoV-19/Belgium/ULG-10032/2020|EPI_ISL_421206|2020-03-31|Europe,Liège,Liège,4802,4100
18,54,55,0.00190000000000001,644114.298468306,755519.892752649,644119.256428323,755512.861664576,0.12477,0.12287,2020.19753934426,2020.19943934426,73200000,NA,Liège,Liège,4800,4800
19,54,56,0.00820000000000001,644114.298468306,755519.892752649,643997.62192064,754556.958789743,0.13107,0.12287,2020.19753934426,2020.20573934426,73200000,NA,Liège,Liège,4800,4800
20,55,16,1.42076501599975e-05,644119.256428323,755512.861664576,640989.801527706,774214.695192724,0.12478420765016,0.12477,2020.19943934426,2020.19945355191,73200000,hCoV-19/Belgium/ULG-6743/2020|EPI_ISL_418627|2020-03-14|Europe,Liège,Liège,4800,4837
22,56,57,0.02205,643997.62192064,754556.958789743,644107.125407376,754460.679122228,0.15312,0.13107,2020.20573934426,2020.22778934426,73200000,NA,Liège,Liège,4800,4800
23,57,18,0.03177349727,644107.125407376,754460.679122228,629899.724958203,753687.389572072,0.18489349727,0.15312,2020.22778934426,2020.25956284153,73200000,hCoV-19/Belgium/ULG-10052/2020|EPI_ISL_424657|2020-04-05|Europe,Liège,Liège,4800,4900
24,57,58,0.00164592136399999,644107.125407376,754460.679122228,644128.0895429,754372.180797345,0.154765921364,0.15312,2020.22778934426,2020.22943526562,73200000,NA,Liège,Liège,4800,4800
25,58,59,0.0003540786357,644128.0895429,754372.180797345,644128.477466557,754348.670974424,0.1551199999997,0.154765921364,2020.22943526562,2020.22978934426,73200000,NA,Liège,Liège,4800,4800
28,59,60,0.00462000000000001,644128.477466557,754348.670974424,644039.819031948,754639.678320883,0.1597399999997,0.1551199999997,2020.22978934426,2020.23440934426,73200000,NA,Liège,Liège,4800,4800
