X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
1,43,44,0.06330543627,648407.626000167,745842.869217052,647651.041194356,749045.64372441,0.06330543627,0,2020.07466934426,2020.13797478053,262400000,NA,Liège,Liège,4633,4651
2,44,42,0.06147877138,647651.041194356,749045.64372441,648119.692039043,747797.47230533,0.12478420765,0.06330543627,2020.13797478053,2020.19945355191,262400000,hCoV-19/Belgium/ULG-6688/2020|EPI_ISL_418625|2020-03-14|Europe,Liège,Liège,4651,4633
5,47,48,0.0018,645505.338224537,756109.587734114,645505.338224537,756109.587734114,0.08738,0.08558,2020.16024934426,2020.16204934426,262400000,NA,Liège,Liège,4820,4820
6,48,49,0.00167,645505.338224537,756109.587734114,645580.010170304,756005.30093358,0.08905,0.08738,2020.16204934426,2020.16371934426,262400000,NA,Liège,Liège,4820,4820
8,49,10,0.000215081967299996,645580.010170304,756005.30093358,643479.314212621,766647.380294589,0.0892650819673,0.08905,2020.16371934426,2020.16393442623,262400000,hCoV-19/Belgium/CG-030158/2020|EPI_ISL_418987|2020-03-01|Europe,Liège,Liège,4820,4837
9,49,50,0.01114,645580.010170304,756005.30093358,646482.094662214,761893.123561198,0.10019,0.08905,2020.16371934426,2020.17485934426,262400000,NA,Liège,Liège,4820,4830
10,50,12,0.00273628415299998,646482.094662214,761893.123561198,651938.548833382,760821.899221626,0.102926284153,0.10019,2020.17485934426,2020.17759562841,262400000,hCoV-19/Belgium/MJP-0306100/2020|EPI_ISL_420356|2020-03-06|Europe,Liège,Liège,4830,4841
11,50,11,4.04371579998397e-06,646482.094662214,761893.123561198,646493.909925834,761897.869017124,0.1001940437158,0.10019,2020.17485934426,2020.17486338798,262400000,hCoV-19/Belgium/SJ-030583/2020|EPI_ISL_420339|2020-03-05|Europe,Liège,Liège,4830,4830
12,51,52,0.01366,645130.627328412,756194.77960866,644847.579555263,755655.414403962,0.12102,0.10736,2020.18202934426,2020.19568934426,262400000,NA,Liège,Liège,4821,4821
13,51,62,0.00184999999999999,645130.627328412,756194.77960866,644827.360144303,755699.11317572,0.10921,0.10736,2020.18202934426,2020.18387934426,262400000,NA,Liège,Liège,4821,4821
14,52,53,0.03044,644847.579555263,755655.414403962,641917.20579525,755677.757515246,0.15146,0.12102,2020.19568934426,2020.22612934426,262400000,NA,Liège,Liège,4821,4802
15,52,54,0.00184999999999999,644847.579555263,755655.414403962,644827.360144303,755699.11317572,0.12287,0.12102,2020.19568934426,2020.19753934426,262400000,NA,Liège,Liège,4821,4821
16,53,14,0.01704005464,641917.20579525,755677.757515246,642112.665728738,755868.819934431,0.16850005464,0.15146,2020.22612934426,2020.2431693989,262400000,hCoV-19/Belgium/ULG-10028/2020|EPI_ISL_421202|2020-03-30|Europe,Liège,Liège,4802,4802
17,53,13,0.01977229508,641917.20579525,755677.757515246,639980.801228331,731901.453843815,0.17123229508,0.15146,2020.22612934426,2020.24590163934,262400000,hCoV-19/Belgium/ULG-10032/2020|EPI_ISL_421206|2020-03-31|Europe,Liège,Liège,4802,4100
18,54,56,0.00820000000000001,644827.360144303,755699.11317572,644782.904790577,755693.668683859,0.13107,0.12287,2020.19753934426,2020.20573934426,262400000,NA,Liège,Liège,4821,4821
20,56,57,0.02205,644782.904790577,755693.668683859,644562.946188533,752784.523019018,0.15312,0.13107,2020.20573934426,2020.22778934426,262400000,NA,Liège,Liège,4821,4650
21,57,18,0.03177349727,644562.946188533,752784.523019018,629899.724958203,753687.389572072,0.18489349727,0.15312,2020.22778934426,2020.25956284153,262400000,hCoV-19/Belgium/ULG-10052/2020|EPI_ISL_424657|2020-04-05|Europe,Liège,Liège,4650,4900
22,57,58,0.00164592136399999,644562.946188533,752784.523019018,644721.858897027,752597.368373184,0.154765921364,0.15312,2020.22778934426,2020.22943526562,262400000,NA,Liège,Liège,4650,4650
23,58,59,0.0003540786357,644721.858897027,752597.368373184,644841.852427146,752502.089505338,0.1551199999997,0.154765921364,2020.22943526562,2020.22978934426,262400000,NA,Liège,Liège,4650,4650
26,59,60,0.00462000000000001,644841.852427146,752502.089505338,643680.679466068,754827.975509943,0.1597399999997,0.1551199999997,2020.22978934426,2020.23440934426,262400000,NA,Liège,Liège,4650,4800
28,60,61,0.06302,643680.679466068,754827.975509943,643877.942822446,754805.118895725,0.2227599999997,0.1597399999997,2020.23440934426,2020.29742934426,262400000,NA,Liège,Liège,4800,4800
29,61,23,0.0003848633878,643877.942822446,754805.118895725,643959.049850983,754891.481382912,0.2231448633875,0.2227599999997,2020.29742934426,2020.29781420765,262400000,hCoV-19/Belgium/ULG-10166/2020|EPI_ISL_447160|2020-04-19|Europe,Liège,Liège,4800,4800
30,61,22,0.06049415301,643877.942822446,754805.118895725,638372.420047356,748648.305347315,0.2832541530097,0.2227599999997,2020.29742934426,2020.35792349727,262400000,hCoV-19/Belgium/ULG-10187/2020|EPI_ISL_455975|2020-05-11|Europe,Liège,Liège,4800,4860
31,62,64,0.01234,644827.360144303,755699.11317572,644849.639055923,755959.795265841,0.12155,0.10921,2020.18387934426,2020.19621934426,262400000,NA,Liège,Liège,4821,4821
33,66,67,0.01886677809,646071.173324646,769324.567638428,646099.022247765,769342.921031223,0.16765,0.14878322191,2020.22345256617,2020.24231934426,262400000,NA,Liège,Liège,4700,4700
34,66,77,0.000576778090700003,646071.173324646,769324.567638428,629385.60008688,780409.398498518,0.1493600000007,0.14878322191,2020.22345256617,2020.22402934426,262400000,NA,Liège,Liège,4700,4750
